C행정구역별,행정구역별,C산업별,업종명,데이터업종명,C조직형태별,조직형태별,시점,사업체수 (개),종사자수 (명)
'00,전국,'J59202,녹음시설 운영업,,'0,계,2018,529,1212
'00,전국,'J60,방송업,,'0,계,2018,827,32895
'00,전국,'J601,라디오 방송업,,'0,계,2018,85,2383
'00,전국,'J6010,라디오 방송업,,'0,계,2018,85,2383
'00,전국,'J60100,라디오 방송업,,'0,계,2018,85,2383
'00,전국,'J602,텔레비전 방송업,,'0,계,2018,742,30512
'00,전국,'J6021,지상파 방송업,,'0,계,2018,85,12558
'00,전국,'J60210,지상파 방송업,,'0,계,2018,85,12558
'00,전국,'J6022,"유선, 위성 및 기타 방송업",,'0,계,2018,657,17954
'00,전국,'J60221,프로그램 공급업,,'0,계,2018,180,9364
'00,전국,'J60222,유선 방송업,,'0,계,2018,315,7274
'00,전국,'J60229,위성 및 기타 방송업,,'0,계,2018,162,1316
